departure,arrival,duration
"Adliswil, Bahnhof","Adliswil, Baumgartenweg",6
"Adliswil, Grundstrasse","Adliswil, Bahnhof",10
"Adliswil, Hofackerstrasse","Adliswil, Grundstrasse",10
"Breite b. Nürensdorf, Sternen","Breite b. N'dorf, W'thurerstr.",3
"Buchs ZH, Post","Buchs ZH, Linde",6
"Bülach, Moritz-Meyer-Weg","Bülach, Kantonsschule",7
Dielsdorf,"Dielsdorf, Dorfzentrum",9
"Dietlikon, Industriestrasse","Dietlikon, Aegert",5
"Dübendorf, Meiershofstrasse","Dübendorf, Wasserfurren",8
"Effretikon, Weiherstrasse","Effretikon, Kapelle Rikon",2
"Fällanden, Schützenhaus","Pfaffhausen, Pfaffenstein",6
"Herrliberg, Bergstrasse","Herrliberg, Tennisplätze",9
"Herrliberg, Pfarrgasse",Herrliberg (See),9
"Horgen, Dorfgasse","Horgen, Baumgärtlihof",3
"Horgen, Heubach","Horgen, Ebnetstrasse",5
"Kilchberg ZH, Emilienheim","Kilchberg ZH, Weinbergstrasse",10
"Kloten, Chanzler","Kloten, Egetswil",7
"Kloten, Geissbergstrasse","Kloten, Rankstrasse",9
"Langnau am Albis, Altersheim","Langnau a.A.,Schwerzi-Wildpark",4
"Meilen, Au","Meilen, Grüt",6
"Mettmenstetten, Zentrum","Mettmenstetten, Schulhaus",3
"Neuenhof, Landhaus","Neuenhof, Posthorn",10
"Uetikon am See, Stötzli","Uetikon am See, Brandrain",6
"Volketswil, Gries","Volketswil, Hegnau",8
"Wallisellen, Hallenbad","Wallisellen, Friedhof",6
"Wettingen, Bushof","Wettingen, Kreuzkapelle",9
"Wettingen, Winkelried","Wettingen, Staffelstrasse",4
"Wettswil a.A., Rehweid","Wettswil a.A., Bäumlisächer",5
Winterthur Töss,"Winterthur, Gaswerk",10
"Winterthur, Brüttenerfussweg","Winterthur, Neubruch",7
"Wohlen AG, Sonnhalde","Wohlen AG, obere Haldenstrasse",5
"Wohlen AG, Zürcherhof",Wohlen Oberdorf,7
"Wädenswil, Chalchtaren","Wädenswil, Neubühl",10
"Würenlos, Spycher",Würenlos,10
"Zollikon, Bahnübergang","Zürich, EPI-Klinik",10
"Zollikon, Seestrasse","Zollikon, Dufourplatz",10
"Zufikon, Haldenstrasse","Zufikon, Emaus",9
Zürich Altstetten,"Zürich, Bristenstrasse",5
"Zürich, Appenzellerstrasse","Zürich, Eschergutweg",7
"Zürich, Chaletweg","Zürich, Mötteliweg",8
"Zürich, Felsenrainstrasse","Zürich, Seebacherplatz",9
"Zürich, Heubeeriweg","Zürich, Krönleinstrasse",8
"Zürich, Kantonsschule","Zürich, Neumarkt",5
"Zürich, Letzistrasse","Zürich, Kinkelstrasse",5
"Zürich, Letzistrasse","Zürich, Schanzackerstrasse",5
"Zürich, Michelstrasse","Zürich, Wieslergasse",6
"Zürich, Morgental",Zürich Wollishofen,10
"Zürich, Morgental","Zürich, Rote Fabrik",10
"Zürich, Neunbrunnen","Zürich, Stierenried",5
"Zürich, Scheuchzerstrasse","Zürich, Kinkelstrasse",4
"Zürich, Schwamendingerplatz","Zürich, Friedrichstrasse",5
"Adliswil, Krone","Adliswil, Baumgartenweg",9
"Buchs ZH, Linde","Buchs ZH, Post",6
"Bülach, Mettmenriet","Bülach, Einkaufszentrum Süd",10
"Dielsdorf, Spitalstrasse","Dielsdorf, Wehntalerstrasse",6
"Dietikon, Bahnhofstrasse",Dietikon,4
"Dietikon, Stelzenacker","Dietikon, Weidstrasse",10
"Glattbrugg, Glatthof","Opfikon, Bubenholz",7
Herrliberg (See),"Herrliberg-Feldmeilen, Bahnhof",7
"Jonen, Taverne","Jonen, Weingasse",8
Kloten,"Kloten, Schluefweg",7
"Opfikon, Aublick","Opfikon, Austrasse",4
"Pfaffhausen, Sängglen","Pfaffhausen, Pfaffenstein",7
